latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.999699,-0.454959,1.60,1.70,2.90,0.27,1.60,1.60,2.90,0.27,0,2021-08-11 16:59:07.534,2021-08-11 17:59:07.534,16,0,0,16.768,51.999699,-0.454963,0.10,0.00,-2.90,-0.10,-3.40,-10.90,0,1,0,93,98,-1468,4084,16768,3011.00,11,P-GPS,1,0,0,0,510,0,0,1628701147534,4186,4189,4191,4187,0,0,4,Litchi_4.18.0-g,Airspeed Phantom 3 Pro,03Z1361171,078JBS7306,6171163421965,2016-08-24,2187,4392,18712,1.00,-34.00,-109.00,0.00,0.00,-107.00,6,16.00,29.02,2.74,1.00,0.00,-29.00,0,,,100,100,19,2,0,0,0,2,0,,,,null,0.0,0.0,-1
51.999699,-0.454959,1.90,2.00,3.10,0.28,1.90,1.90,3.10,0.28,97,2021-08-11 16:59:07.632,2021-08-11 17:59:07.631,16,0,0,16.768,51.999699,-0.454963,0.00,0.00,-3.10,0.70,-1.80,-11.10,0,1,0,93,98,-1468,4084,16768,3011.00,11,P-GPS,1,0,0,0,452,0,0,1628701147631,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-7.00,-18.00,-111.00,0.00,0.00,-107.00,6,19.00,31.00,2.84,0.00,0.00,-31.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999699,-0.454959,2.30,2.30,3.00,0.28,2.30,2.30,3.10,0.28,199,2021-08-11 16:59:07.733,2021-08-11 17:59:07.733,16,0,0,16.768,51.999699,-0.454963,0.00,0.00,-3.00,1.40,-1.30,-11.00,0,1,0,93,98,-1468,4084,16768,3011.00,11,P-GPS,1,0,0,0,460,0,0,1628701147733,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-14.00,-13.00,-110.00,0.00,0.00,-107.00,6,23.00,30.00,2.82,0.00,0.00,-30.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999699,-0.454959,2.60,2.60,3.00,0.29,2.60,2.60,3.10,0.29,306,2021-08-11 16:59:07.841,2021-08-11 17:59:07.841,15,0,0,16.470,51.999699,-0.454963,0.00,0.00,-2.90,1.80,-1.30,-10.80,0,1,0,93,98,-3955,4084,16470,3011.00,11,P-GPS,1,0,0,0,444,0,0,1628701147840,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-18.00,-13.00,-108.00,0.00,0.00,-107.00,6,26.00,30.00,2.86,0.00,0.00,-29.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999699,-0.454959,2.90,2.90,2.90,0.28,2.90,2.90,3.10,0.29,439,2021-08-11 16:59:07.973,2021-08-11 17:59:07.973,15,0,0,16.470,51.999699,-0.454963,0.00,0.00,-2.90,2.10,-1.60,-10.40,0,1,0,93,98,-3955,4084,16470,3011.00,11,P-GPS,1,0,0,0,461,0,0,1628701147973,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-21.00,-16.00,-104.00,0.00,0.00,-106.00,6,29.00,29.00,2.85,0.00,0.00,-29.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999700,-0.454959,3.20,0.00,2.80,0.31,3.20,3.20,3.10,0.31,502,2021-08-11 16:59:08.036,2021-08-11 17:59:08.036,16,0,0,16.470,51.999699,-0.454963,0.00,0.00,-2.80,2.40,-1.80,-10.10,0,1,0,93,98,-3955,4084,16470,3011.00,11,P-GPS,1,0,0,0,450,0,0,1628701148036,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-24.00,-18.00,-101.00,0.00,0.00,-106.00,6,32.00,28.00,3.08,0.00,0.00,-28.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999700,-0.454959,3.40,0.00,2.80,0.30,3.40,3.40,3.10,0.31,600,2021-08-11 16:59:08.134,2021-08-11 17:59:08.134,16,0,0,16.470,51.999699,-0.454963,0.00,0.00,-2.80,2.30,-1.70,-9.90,0,1,0,93,98,-3955,4084,16470,3011.00,11,P-GPS,1,0,0,0,463,0,0,1628701148134,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-23.00,-17.00,-99.00,0.00,0.00,-106.00,6,34.00,28.00,3.05,0.00,0.00,-28.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999700,-0.454958,3.70,0.00,2.80,0.33,3.70,3.70,3.10,0.33,705,2021-08-11 16:59:08.239,2021-08-11 17:59:08.239,16,0,0,16.470,51.999699,-0.454963,0.00,0.00,-2.80,2.10,-1.60,-9.90,0,1,0,93,98,-3955,4084,16470,3011.00,11,P-GPS,1,0,0,0,452,0,0,1628701148239,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-21.00,-16.00,-99.00,0.00,0.00,-106.00,6,37.00,28.00,3.31,0.00,0.00,-28.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999700,-0.454959,4.00,0.00,2.80,0.32,4.00,4.00,3.10,0.33,801,2021-08-11 16:59:08.335,2021-08-11 17:59:08.335,16,0,0,16.470,51.999699,-0.454963,0.00,0.00,-2.80,1.80,-1.50,-9.80,0,1,0,93,98,-3955,4084,16470,3011.00,11,P-GPS,1,0,0,0,446,0,0,1628701148335,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-18.00,-15.00,-98.00,0.00,0.00,-106.00,6,40.00,28.00,3.21,0.00,0.00,-28.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999700,-0.454959,4.30,0.00,2.80,0.34,4.30,4.30,3.10,0.34,920,2021-08-11 16:59:08.454,2021-08-11 17:59:08.454,16,0,0,16.470,51.999699,-0.454963,0.00,-0.10,-2.80,1.60,-1.40,-9.70,0,1,0,93,98,-3955,4084,16470,3011.00,11,P-GPS,1,0,0,0,467,0,0,1628701148454,4186,4189,4191,4187,0,0,4,,,,,,,0,0,0,-16.00,-14.00,-97.00,0.00,0.00,-106.00,6,43.00,28.02,3.43,0.00,-1.00,-28.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
